iter	Logloss
0	0.6888523281
1	0.6853068051
2	0.6814687469
3	0.6771789835
4	0.673732217
5	0.6695878711
6	0.6653628048
7	0.6615381266
8	0.6574196439
9	0.6548021175
10	0.6507002507
11	0.6475683614
12	0.6445029222
13	0.6408870123
14	0.6380297961
15	0.6340884133
16	0.6303092616
17	0.6268034138
18	0.6242393744
19	0.6203352949
20	0.6173119599
21	0.6143604007
22	0.6119855226
23	0.6086715667
24	0.6058015066
25	0.6021712965
26	0.5992617633
27	0.5960694208
28	0.5932177245
29	0.5907315941
30	0.5880487514
31	0.5844143514
32	0.5823334358
33	0.5796779757
34	0.576923328
35	0.5748119425
36	0.5719734284
37	0.5692016641
38	0.5663862758
39	0.5636746461
40	0.5616849319
41	0.5592729396
42	0.5570154834
43	0.5548843772
44	0.5524986031
45	0.5499252077
46	0.5473189992
47	0.5454607339
48	0.5431247936
49	0.5408876334
50	0.5385710299
51	0.5363078647
52	0.5339255611
53	0.5315396576
54	0.5299213569
55	0.5277365619
56	0.5258357709
57	0.5236394641
58	0.5214571276
59	0.520078602
60	0.5184328578
61	0.5172259247
62	0.5157738544
63	0.5141088878
64	0.5125085993
65	0.5111160055
66	0.5092295707
67	0.507759182
68	0.5058628452
69	0.5042853893
70	0.5027226461
71	0.5014287556
72	0.5001539222
73	0.4991220854
74	0.4978190634
75	0.4962601501
76	0.4947705851
77	0.4931189467
78	0.4917014981
79	0.4905575616
80	0.4896853149
81	0.4884524738
82	0.48722789
83	0.4861254479
84	0.4843836309
85	0.4832622971
86	0.4821271346
87	0.4812849544
88	0.4798708164
89	0.4790013095
90	0.4777140446
91	0.4763214183
92	0.4749917733
93	0.4737754085
94	0.4723610369
95	0.4716501443
96	0.4706018663
97	0.469171337
98	0.4677955351
99	0.4665877832
100	0.4653936975
101	0.464169659
102	0.4630084787
103	0.461794994
104	0.4609003117
105	0.459612875
106	0.458935943
107	0.4577506509
108	0.4566800668
109	0.4556977205
110	0.454521987
111	0.453682471
112	0.4528355461
113	0.4519643101
114	0.4506336656
115	0.449819083
116	0.4491353319
117	0.4481956146
118	0.4470502967
119	0.4463070652
120	0.4456506417
121	0.4449993619
122	0.4437114376
123	0.4427539591
124	0.4421352283
125	0.4413915381
126	0.4406790331
127	0.4400127651
128	0.4391978475
129	0.4381367504
130	0.4373910606
131	0.4365327784
132	0.4354149343
133	0.4346412333
134	0.4338119895
135	0.4331056398
136	0.4323641022
137	0.4316036336
138	0.4303814914
139	0.4296481174
140	0.4287006347
141	0.428048978
142	0.4271592456
143	0.426378761
144	0.4256495414
145	0.4248895174
146	0.4241114734
147	0.423443485
148	0.4226652832
149	0.4217554462
150	0.421064016
151	0.4206090865
152	0.4199996476
153	0.4193494628
154	0.418995932
155	0.4181439849
156	0.4175038501
157	0.4170090791
158	0.4161702709
159	0.4155449579
160	0.4152123533
161	0.4145049175
162	0.4138673398
163	0.4129942522
164	0.4124411059
165	0.4119505469
166	0.4115478934
167	0.4111441426
168	0.4105935206
169	0.4096941154
170	0.4092059688
171	0.4085846331
172	0.4081533521
173	0.4075065154
174	0.4069096845
175	0.4062167997
176	0.4055133946
177	0.4046374287
